symbol,name,sector,industry
1301,極    洋,Materials,0050
130A,ＶＩＳ,Healthcare,3250
1332,ニッスイ,Materials,0050
1333,Ｕｍｉｏｓ,Materials,0050
135A,ＶＲＡＩＮ,Communication Services,5250
1375,ユキグニファクトリー,Materials,0050
1376,カネコ種苗,Materials,0050
1377,サカタのタネ,Materials,0050
1379,ホ  ク  ト,Materials,0050
137A,Ｃｏｃｏｌｉｖｅ,Communication Services,5250
1380,秋川牧園,Materials,0050
1381,アクシーズ,Materials,0050
1382,ホ－ブ,Materials,0050
1383,ベルグアース,Materials,0050
1384,ホクリヨウ,Materials,0050
138A,光フードサービス,Consumer Cyclical,6100
1401,エムビーエス,Industrials,2050
1407,ウエストホールディングス,Industrials,2050
1414,ショーボンド  ＨＤ,Industrials,2050
1417,ミライト・ワン,Industrials,2050
1418,インターライフＨＤ,Industrials,2050
1419,タマホーム,Industrials,2050
141A,トライアルホールディング,Consumer Cyclical,6100
1420,サンヨーホームズ,Industrials,2050
1429,日本アクア,Industrials,2050
142A,ジンジブ,Industrials,9050
1430,ファーストコーポレ,Industrials,2050
1431,Ｌｉｂ  Ｗｏｒｋ,Industrials,2050
1433,ベステラ,Industrials,2050
1434,ＪＥＳＣＯ  ＨＤ,Industrials,2050
1435,ｒｏｂｏｔ  ｈｏｍｅ,Real Estate,8050
1436,グリーンエナジー,Industrials,2050
1438,岐阜造園,Industrials,2050
143A,イシン,Industrials,9050
1443,技研ホールディングス,Industrials,2050
1444,ニッソウ,Industrials,2050
1446,キャンディル,Industrials,2050
1447,ＳＡＡＦホールディングス,Industrials,2050
1450,ＴＡＮＡＫＥＮ,Industrials,2050
145A,Ｌ  ｉｓ  Ｂ,Communication Services,5250
146A,コロンビア・ワークス,Real Estate,8050
147A,ソラコム,Communication Services,5250
148A,ハッチ・ワーク,Communication Services,5250
1491,中外鉱業,Materials,3500
149A,シンカ,Communication Services,5250
150A,ＪＳＨ,Industrials,9050
1514,住石ホールディングス,Energy,1050
1515,日鉄鉱業,Energy,1050
1518,三井松島ホールディングス,Industrials,3800
151A,ダイブグループ,Industrials,9050
153A,カウリス,Communication Services,5250
155A,情報戦略テクノロジー,Communication Services,5250
156A,マテリアルグループ,Industrials,9050
157A,グリーンモンスター,Industrials,9050
1605,ＩＮＰＥＸ,Energy,1050
160A,アズパートナーズ,Industrials,9050
1662,石油資源開発,Energy,1050
1663,Ｋ＆Ｏエナジーグループ,Energy,1050
166A,タスキホールディングス,Real Estate,8050
167A,リョーサン菱洋ＨＤ,Industrials,6050
168A,イタミアート,Industrials,3800
1711,ＳＤＳホールディングス,Industrials,2050
1716,第一カッター興業,Industrials,2050
1717,明豊ファシリティワークス,Industrials,9050
1718,美樹工業,Industrials,2050
1719,安藤・間,Industrials,2050
1720,東急建設,Industrials,2050
1721,コムシスホールディングス,Industrials,2050
1723,日本電技,Industrials,2050
1724,シンクレイヤ,Industrials,2050
1736,オーテック,Industrials,2050
173A,ハンモック,Communication Services,5250
1758,太洋基礎工業,Industrials,2050
175A,Ｗｉｌｌ  Ｓｍａｒｔ,Communication Services,5250
1762,高松コンストラクションＧ,Industrials,2050
1764,工藤建設,Industrials,2050
1766,東建コーポレーション,Industrials,2050
1768,ソネック,Industrials,2050
1770,藤田エンジニアリング,Industrials,2050
1773,ワイ・ティー・エル,Industrials,2050
177A,コージンバイオ,Materials,3200
1780,ヤマウラ,Industrials,2050
1783,ｆａｎｔａｓｉｓｔａ,Real Estate,8050
1786,オリエンタル白石,Industrials,2050
1787,ナカボーテック,Industrials,2050
1788,三東工業社,Industrials,2050
1793,大本組,Industrials,2050
1795,マサル,Industrials,2050
1798,守谷商会,Industrials,2050
1799,第一建設工業,Industrials,2050
1801,大成建設,Industrials,2050
1802,大  林  組,Industrials,2050
1803,清水建設,Industrials,2050
1807,佐藤渡辺,Industrials,2050
1808,長谷工コーポレーション,Industrials,2050
1810,松井建設,Industrials,2050
1811,錢  高  組,Industrials,2050
1812,鹿島建設,Industrials,2050
1813,不動テトラ,Industrials,2050
1814,大末建設,Industrials,2050
1815,鉄建建設,Industrials,2050
1820,西松建設,Industrials,2050
1822,大豊建設,Industrials,2050
1826,佐田建設,Industrials,2050
1827,ナカノフドー建設,Industrials,2050
1828,田辺工業,Industrials,2050
1833,奥  村  組,Industrials,2050
1835,東鉄工業,Industrials,2050
1840,土屋ホールディングス,Industrials,2050
1844,大盛工業,Industrials,2050
1847,イチケン,Industrials,2050
1848,富士ピー・エス,Industrials,2050
184A,学びエイド,Communication Services,5250
1850,南海辰村建設,Industrials,2050
1852,淺  沼  組,Industrials,2050
1853,森    組,Industrials,2050
1860,戸田建設,Industrials,2050
1861,熊  谷  組,Industrials,2050
1866,北野建設,Industrials,2050
1867,植  木  組,Industrials,2050
186A,アストロスケールＨＤ,Industrials,9050
1870,矢作建設工業,Industrials,2050
1871,ピーエス・コンストラクシ,Industrials,2050
1873,日本ハウスＨＤ,Industrials,2050
1878,大東建託,Real Estate,8050
1879,新日本建設,Industrials,2050
1882,東亜道路工業,Industrials,2050
1885,東亜建設工業,Industrials,2050
1887,日本国土開発,Industrials,2050
1888,若築建設,Industrials,2050
1893,五洋建設,Industrials,2050
1897,金下建設,Industrials,2050
1898,世紀東急工業,Industrials,2050
1899,福  田  組,Industrials,2050
189A,Ｄ＆Ｍカンパニー,Industrials,9050
1904,大成温調,Industrials,2050
1905,テノックス,Industrials,2050
1909,日本ドライケミカル,Industrials,3600
190A,Ｃｈｏｒｄｉａ,Healthcare,3250
1911,住友林業,Industrials,2050
1914,日本基礎技術,Industrials,2050
1921,巴コーポレーション,Industrials,2050
1925,大和ハウス工業,Industrials,2050
1926,ライト工業,Industrials,2050
1928,積水ハウス,Industrials,2050
1929,日特建設,Industrials,2050
192A,インテグループ,Industrials,9050
1930,北陸電気工事,Industrials,2050
1934,ユアテック,Industrials,2050
1938,日本リーテック,Industrials,2050
1939,四  電  工,Industrials,2050
1941,中  電  工,Industrials,2050
1942,関  電  工,Industrials,2050
1944,きんでん,Industrials,2050
1945,東京エネシス,Industrials,2050
1946,トーエネック,Industrials,2050
1948,弘  電  社,Industrials,2050
194A,ＷＯＬＶＥＳ  ＨＡＮＤ,Industrials,9050
1950,日本電設工業,Industrials,2050
1951,エクシオグループ,Industrials,2050
1952,新日本空調,Industrials,2050
1959,クラフティア,Industrials,2050
195A,ＭＵＳＣＡＴ  ＧＲＯＵＰ,Industrials,9050
1960,サンテック,Industrials,2050
1961,三機工業,Industrials,2050
1963,日揮ホールディングス,Industrials,2050
1964,中外炉工業,Industrials,2050
1965,テクノ菱和,Industrials,2050
1966,高田工業所,Industrials,2050
1967,ヤ  マ  ト,Industrials,2050
1968,太平電業,Industrials,2050
1969,高砂熱学工業,Industrials,2050
196A,ＭＦＳ,Financials,7200
1972,三晃金属工業,Industrials,2050
1975,朝日工業社,Industrials,2050
1976,明星工業,Industrials,2050
1979,大  氣  社,Industrials,2050
197A,タウンズ,Healthcare,3250
1980,ダイダン,Industrials,2050
1981,協和日成,Industrials,2050
1982,日比谷総合設備,Industrials,2050
198A,ＰｏｓｔＰｒｉｍｅ,Communication Services,5250
1992,神田通信機,Industrials,2050
1994,高橋カーテンウォール,Industrials,2050
1997,暁飯島工業,Industrials,2050
2001,ニップン,Consumer Defensive,3050
2002,日清製粉Ｇ  本社,Consumer Defensive,3050
2003,日東富士製粉,Consumer Defensive,3050
2004,昭和産業,Consumer Defensive,3050
2009,鳥越製粉,Consumer Defensive,3050
2053,中部飼料,Consumer Defensive,3050
2055,日和産業,Consumer Defensive,3050
205A,ロゴスホールディングス,Industrials,2050
2060,フィード・ワン,Consumer Defensive,3050
206A,ＰＲＩＳＭ  ＢｉｏＬａｂ,Healthcare,3250
208A,構造計画研究所ＨＤ,Communication Services,5250
2108,日本甜菜製糖,Consumer Defensive,3050
2109,ＤＭ三井製糖,Consumer Defensive,3050
2112,塩水港精糖,Consumer Defensive,3050
2114,フジ日本,Consumer Defensive,3050
2117,ウェルネオシュガー,Consumer Defensive,3050
211A,カドス・コーポレーション,Industrials,2050
2120,ＬＩＦＵＬＬ,Industrials,9050
2121,ＭＩＸＩ,Communication Services,5250
2122,インタースペース,Industrials,9050
2124,ジェイエイシーリクルート,Industrials,9050
2127,日本Ｍ＆ＡセンターＨＤ,Industrials,9050
212A,フィットイージー,Industrials,9050
2130,メンバーズ,Industrials,9050
2134,北浜キャピタルパートナー,Industrials,9050
2136,ヒップ,Industrials,9050
2138,クルーズ,Communication Services,5250
2139,中    広,Industrials,9050
2146,ＵＴグループ,Industrials,9050
2148,アイティメディア,Industrials,9050
2152,幼児活動研究会,Industrials,9050
2153,Ｅ・Ｊホールディングス,Industrials,9050
2154,オープンアップグループ,Industrials,9050
2156,セーラー広告,Industrials,9050
2157,コシダカホールディングス,Industrials,9050
2158,ＦＲＯＮＴＥＯ,Industrials,9050
215A,タイミー,Industrials,9050
2160,ジーエヌアイグループ,Healthcare,3250
2163,アルトナー,Industrials,9050
2164,地域新聞社,Industrials,9050
2168,パソナグループ,Industrials,9050
2169,Ｃ  Ｄ  Ｓ,Industrials,9050
2170,リンク＆モチベーション,Industrials,9050
2173,博展,Industrials,9050
2175,エス・エム・エス,Industrials,9050
2179,成学社,Industrials,9050
2180,サニーサイドアップＧ,Industrials,9050
2181,パーソルホールディングス,Industrials,9050
2183,リニカル,Industrials,9050
2185,シイエム・シイ,Industrials,9050
2186,ソーバル,Industrials,9050
