symbol,name,sector,industry,lending
1301,極洋,Materials,水産・農林業,貸借
1332,日本水産,Materials,水産・農林業,貸借
1334,マルハニチロホールディングス,Materials,水産・農林業,貸借
1352,ホウスイ,Industrials,卸売業,信用
1377,サカタのタネ,Materials,水産・農林業,貸借
1378,雪国まいたけ,Materials,水産・農林業,貸借
1379,ホクト,Materials,水産・農林業,貸借
1405,サーラ住宅,Industrials,建設業,信用
1412,チャイナ・ボーチー・エンバイロメンタル・ソリューションズ・テクノロジー（ホールディング）カンパニー・リミテッド,Industrials,建設業,貸借
1414,ショーボンドホールディングス,Industrials,建設業,貸借
1417,ミライト・ホールディングス,Industrials,建設業,貸借
1491,中外鉱業,Materials,非鉄金属,信用
1514,住石ホールディングス,Energy,鉱業,貸借
1515,日鉄鉱業,Energy,鉱業,貸借
1518,三井松島産業,Energy,鉱業,貸借
1605,国際石油開発帝石,Energy,鉱業,貸借
1606,日本海洋掘削,Energy,鉱業,貸借
1661,関東天然瓦斯開発,Energy,鉱業,貸借
1662,石油資源開発,Energy,鉱業,貸借
1711,省電舎,Industrials,建設業,その他
1712,ダイセキ環境ソリューション,Industrials,建設業,貸借
1719,間組,Industrials,建設業,貸借
1720,東急建設,Industrials,建設業,貸借
1721,コムシスホールディングス,Industrials,建設業,貸借
1722,ミサワホーム,Industrials,建設業,貸借
1726,ビーアールホールディングス,Industrials,建設業,その他
1737,三井金属エンジニアリング,Industrials,建設業,その他
1762,高松コンストラクショングループ,Industrials,建設業,信用
1764,工藤建設,Industrials,建設業,その他
1766,東建コーポレーション,Industrials,建設業,貸借
1773,ワイ・ティー・エル・コーポレーション・バーハッド,Industrials,建設業,その他
1775,富士古河Ｅ＆Ｃ,Industrials,建設業,信用
1776,三井住建道路,Industrials,建設業,信用
1780,ヤマウラ,Industrials,建設業,貸借
1801,大成建設,Industrials,建設業,貸借
1802,大林組,Industrials,建設業,貸借
1803,清水建設,Industrials,建設業,貸借
1805,飛島建設,Industrials,建設業,貸借
1808,長谷工コーポレーション,Industrials,建設業,貸借
1810,松井建設,Industrials,建設業,貸借
1812,鹿島建設,Industrials,建設業,貸借
1813,不動テトラ,Industrials,建設業,貸借
1814,大末建設,Industrials,建設業,貸借
1815,鉄建建設,Industrials,建設業,貸借
1816,安藤建設,Industrials,建設業,貸借
1819,太平工業,Industrials,建設業,貸借
1820,西松建設,Industrials,建設業,貸借
1821,三井住友建設,Industrials,建設業,貸借
1822,大豊建設,Industrials,建設業,貸借
1824,前田建設工業,Industrials,建設業,貸借
1826,佐田建設,Industrials,建設業,貸借
1827,ナカノフドー建設,Industrials,建設業,貸借
1828,田辺工業,Industrials,建設業,信用
1833,奥村組,Industrials,建設業,貸借
1834,大和小田急建設,Industrials,建設業,信用
1835,東鉄工業,Industrials,建設業,貸借
1840,土屋ホールディングス,Industrials,建設業,貸借
1844,大盛工業,Industrials,建設業,その他
1846,鈴縫工業,Industrials,建設業,その他
1847,イチケン,Industrials,建設業,信用
1852,淺沼組,Industrials,建設業,貸借
1860,戸田建設,Industrials,建設業,貸借
1861,熊谷組,Industrials,建設業,貸借
1865,青木あすなろ建設,Industrials,建設業,信用
1866,北野建設,Industrials,建設業,貸借
1867,植木組,Industrials,建設業,貸借
1868,三井ホーム,Industrials,建設業,貸借
1870,矢作建設工業,Industrials,建設業,貸借
1871,ピーエス三菱,Industrials,建設業,信用
1878,大東建託,Industrials,建設業,貸借
1879,新日本建設,Industrials,建設業,貸借
1881,ＮＩＰＰＯ,Industrials,建設業,貸借
1882,東亜道路工業,Industrials,建設業,貸借
1883,前田道路,Industrials,建設業,貸借
1884,日本道路,Industrials,建設業,貸借
1885,東亜建設工業,Industrials,建設業,貸借
1888,若築建設,Industrials,建設業,貸借
1890,東洋建設,Industrials,建設業,貸借
1893,五洋建設,Industrials,建設業,貸借
1896,大林道路,Industrials,建設業,貸借
1898,世紀東急工業,Industrials,建設業,信用
1899,福田組,Industrials,建設業,貸借
1909,日本ドライケミカル,Industrials,機械,その他
1911,住友林業,Industrials,建設業,貸借
1914,日本基礎技術,Industrials,建設業,貸借
1916,日成ビルド工業,Industrials,建設業,貸借
1919,エス・バイ・エル,Industrials,建設業,貸借
1921,巴コーポレーション,Industrials,建設業,貸借
1924,パナホーム,Industrials,建設業,貸借
1925,大和ハウス工業,Industrials,建設業,貸借
1926,ライト工業,Industrials,建設業,貸借
1928,積水ハウス,Industrials,建設業,貸借
1929,日特建設,Industrials,建設業,貸借
1930,北陸電気工事,Industrials,建設業,貸借
1934,ユアテック,Industrials,建設業,貸借
1935,ＴＴＫ,Industrials,建設業,信用
1937,西部電気工業,Industrials,建設業,貸借
1938,日本リーテック,Industrials,建設業,信用
1939,四電工,Industrials,建設業,貸借
1941,中電工,Industrials,建設業,貸借
1942,関電工,Industrials,建設業,貸借
1944,きんでん,Industrials,建設業,貸借
1945,東京エネシス,Industrials,建設業,貸借
1946,トーエネック,Industrials,建設業,貸借
1948,弘電社,Industrials,建設業,信用
1949,住友電設,Industrials,建設業,貸借
1950,日本電設工業,Industrials,建設業,貸借
1951,協和エクシオ,Industrials,建設業,貸借
1952,新日本空調,Industrials,建設業,貸借
1954,日本工営,Industrials,サービス業,貸借
1956,日本電話施設,Industrials,建設業,貸借
1959,九電工,Industrials,建設業,貸借
1960,サンテック,Industrials,建設業,信用
1961,三機工業,Industrials,建設業,貸借
1963,日揮,Industrials,建設業,貸借
1964,中外炉工業,Industrials,建設業,貸借
1965,テクノ菱和,Industrials,建設業,貸借
1967,ヤマト,Industrials,建設業,貸借
1968,太平電業,Industrials,建設業,貸借
1969,高砂熱学工業,Industrials,建設業,貸借
1971,中央ビルト工業,Materials,金属製品,信用
1972,三晃金属工業,Industrials,建設業,信用
1973,ＮＥＣネッツエスアイ,Communication Services,情報･通信業,貸借
1975,朝日工業社,Industrials,建設業,貸借
1978,アタカ大機,Industrials,機械,貸借
1979,大氣社,Industrials,建設業,貸借
1980,ダイダン,Industrials,建設業,貸借
1982,日比谷総合設備,Industrials,建設業,貸借
1983,東芝プラントシステム,Industrials,建設業,貸借
1987,ソルコム,Industrials,建設業,信用
2001,日本製粉,Consumer Defensive,食料品,貸借
2002,日清製粉グループ本社,Consumer Defensive,食料品,貸借
2003,日東富士製粉,Consumer Defensive,食料品,信用
2004,昭和産業,Consumer Defensive,食料品,貸借
2006,東福製粉,Consumer Defensive,食料品,その他
2009,鳥越製粉,Consumer Defensive,食料品,信用
2052,協同飼料,Consumer Defensive,食料品,貸借
2053,中部飼料,Consumer Defensive,食料品,貸借
2056,日本配合飼料,Consumer Defensive,食料品,貸借
2107,東洋精糖,Consumer Defensive,食料品,信用
2108,日本甜菜製糖,Consumer Defensive,食料品,貸借
2109,三井製糖,Consumer Defensive,食料品,貸借
2112,塩水港精糖,Consumer Defensive,食料品,貸借
2114,フジ日本精糖,Consumer Defensive,食料品,信用
2117,日新製糖ホールディングス,Consumer Defensive,食料品,貸借
2120,ネクスト,Industrials,サービス業,信用
2121,ミクシィ,Industrials,サービス業,信用
2122,インタースペース,Industrials,サービス業,信用
2127,日本Ｍ＆Ａセンター,Industrials,サービス業,信用
2128,ノバレーゼ,Industrials,サービス業,貸借
2131,アコーディア・ゴルフ,Industrials,サービス業,貸借
2148,アイティメディア,Industrials,サービス業,信用
2150,ケアネット,Industrials,サービス業,信用
2151,タケエイ,Industrials,サービス業,信用
2153,Ｅ・Ｊホールディングス,Industrials,サービス業,その他
2155,カービュー,Industrials,サービス業,信用
2158,ＵＢＩＣ,Industrials,サービス業,信用
2159,フルスピード,Industrials,サービス業,信用
2160,ジーエヌアイグループ,Industrials,サービス業,その他
2168,パソナグループ,Industrials,サービス業,貸借
2170,リンクアンドモチベーション,Industrials,サービス業,貸借
2174,ＧＣＡサヴィアングループ,Industrials,サービス業,信用
2175,エス・エム・エス,Industrials,サービス業,信用
2178,トライステージ,Industrials,サービス業,信用
2181,テンプホールディングス,Industrials,サービス業,信用
2183,リニカル,Industrials,サービス業,信用
2193,クックパッド,Industrials,サービス業,信用
2196,エスクリ,Industrials,サービス業,その他
2198,アイ・ケイ・ケイ,Industrials,サービス業,信用
2201,森永製菓,Consumer Defensive,食料品,貸借
2204,中村屋,Consumer Defensive,食料品,貸借
2206,江崎グリコ,Consumer Defensive,食料品,貸借
2207,名糖産業,Consumer Defensive,食料品,信用
2208,ブルボン,Consumer Defensive,食料品,その他
2209,井村屋グループ,Consumer Defensive,食料品,信用
2211,不二家,Consumer Defensive,食料品,貸借
2212,山崎製パン,Consumer Defensive,食料品,貸借
2215,第一屋製パン,Consumer Defensive,食料品,貸借
2216,カンロ,Consumer Defensive,食料品,信用
2217,モロゾフ,Consumer Defensive,食料品,貸借
2220,亀田製菓,Consumer Defensive,食料品,貸借
2229,カルビー,Consumer Defensive,食料品,貸借
2264,森永乳業,Consumer Defensive,食料品,貸借
2267,ヤクルト本社,Consumer Defensive,食料品,貸借
2269,明治ホールディングス,Consumer Defensive,食料品,貸借
2270,雪印メグミルク,Consumer Defensive,食料品,貸借
2281,プリマハム,Consumer Defensive,食料品,貸借
2282,日本ハム,Consumer Defensive,食料品,貸借
2284,伊藤ハム,Consumer Defensive,食料品,貸借
2286,林兼産業,Consumer Defensive,食料品,貸借
2288,丸大食品,Consumer Defensive,食料品,貸借
2290,米久,Consumer Defensive,食料品,貸借
2291,福留ハム,Consumer Defensive,食料品,信用
