symbol,name,sector,industry
1301,極洋,Materials,水産・農林業
1332,ニッスイ,Materials,水産・農林業
1333,マルハニチロ,Materials,水産・農林業
1375,雪国まいたけ,Materials,水産・農林業
1376,カネコ種苗,Materials,水産・農林業
1377,サカタのタネ,Materials,水産・農林業
1379,ホクト,Materials,水産・農林業
1380,秋川牧園,Materials,水産・農林業
1381,アクシーズ,Materials,水産・農林業
1382,ホーブ,Materials,水産・農林業
1383,ベルグアース,Materials,水産・農林業
1384,ホクリヨウ,Materials,水産・農林業
1401,エムビーエス,Industrials,建設業
1407,ウエストホールディングス,Industrials,建設業
1414,ショーボンドホールディングス,Industrials,建設業
1417,ミライト・ワン,Industrials,建設業
1418,インターライフホールディングス,Industrials,建設業
1419,タマホーム,Industrials,建設業
1420,サンヨーホームズ,Industrials,建設業
1429,日本アクア,Industrials,建設業
1430,ファーストコーポレーション,Industrials,建設業
1431,Ｌｉｂ　Ｗｏｒｋ,Industrials,建設業
1432,動力,Industrials,建設業
1433,ベステラ,Industrials,建設業
1434,ＪＥＳＣＯホールディングス,Industrials,建設業
1435,ｒｏｂｏｔ　ｈｏｍｅ,Real Estate,不動産業
1436,グリーンエナジー＆カンパニー,Industrials,建設業
1438,岐阜造園,Industrials,建設業
1439,安江工務店,Industrials,建設業
1443,技研ホールディングス,Industrials,建設業
1444,ニッソウ,Industrials,建設業
1445,ひかりホールディングス,Industrials,建設業
1446,キャンディル,Industrials,建設業
1447,ＳＡＡＦホールディングス,Industrials,建設業
1450,田中建設工業,Industrials,建設業
1451,ＫＨＣ,Industrials,建設業
1452,横浜ライト工業,Industrials,建設業
1491,中外鉱業,Materials,非鉄金属
1514,住石ホールディングス,Energy,鉱業
1515,日鉄鉱業,Energy,鉱業
1518,三井松島ホールディングス,Energy,鉱業
1605,ＩＮＰＥＸ,Energy,鉱業
1662,石油資源開発,Energy,鉱業
1663,Ｋ＆Ｏエナジーグループ,Energy,鉱業
1711,ＳＤＳホールディングス,Industrials,建設業
1712,ダイセキ環境ソリューション,Industrials,建設業
1716,第一カッター興業,Industrials,建設業
1717,明豊ファシリティワークス,Industrials,サービス業
1718,美樹工業,Industrials,建設業
1719,安藤・間,Industrials,建設業
1720,東急建設,Industrials,建設業
1721,コムシスホールディングス,Industrials,建設業
1723,日本電技,Industrials,建設業
1724,シンクレイヤ,Industrials,建設業
1726,ビーアールホールディングス,Industrials,建設業
1730,麻生フオームクリート,Industrials,建設業
1736,オーテック,Industrials,建設業
1743,コーアツ工業,Industrials,建設業
1757,創建エース,Industrials,建設業
1758,太洋基礎工業,Industrials,建設業
1762,高松コンストラクショングループ,Industrials,建設業
1764,工藤建設,Industrials,建設業
